Q2_q0_pa_,Q2_q1_pb_,Q2_q01_pab_,Q4_q2_pa_,Q4_q3_pb_,Q4_q23_pab_,Q6_q3_pb_,Q6_q0_pa_,Q6_q03_pab_,survey_code,q3
0.4,0.6,1,0.5,0.3,1,0.35,0.5,1,46367408,Q6
0.6,0.8,0.7,0.6,0.5,0.8,0.5,0.4,0.8,99894920,Q6
0,0.8,1,0.5,0.5,1,0.1,0.8,0.4,61056938,Q6
0.2,0.3,0.5,0.1,0.1,0.8,0.05,0.15,0.8,22659360,Q6
0.2,1,0.6,0.6,0.4,0.65,0.2,1,0.35,86041024,Q6
0.9,0.4,0.4,0.6,0.8,0.6,0.8,0.5,0.6,56120764,Q6
0.68,0.8,0.3,0.75,0.78,0.8,0.8,0.8,0.99,36072918,Q6
0.2,0.4,0.4,0.1,0.3,0.6,0.3,0.25,0.45,58077874,Q6
0.15,0.7,0.15,0.8,0.1,0.1,0.05,0.9,0.05,65817680,Q6
0.49,0.27,0.1,0.25,0.41,0.19,0.7,0.53,0.2,12707317,Q6
0.4,0.8,0.6,0.6,0.7,0.9,0.6,0.6,0.8,94961565,Q6
0.1,0.3,0.6,0.1,0.1,0.8,0.2,0.1,0.7,69281814,Q6
0.7,0.9,0.8,0.8,0.85,0.95,0.85,0.85,0.9,62750095,Q6
0.5,0.6,0.7,0.6,0.75,0.85,0.25,0.75,0.45,54245553,Q6
0.6,0.6,0.7,0.6,0.5,0.5,0.5,0.6,0.5,85138248,Q6
0.75,0.55,0.7,0.7,0.8,0.65,0.75,0.75,0.55,44002109,Q6
0.1,0.45,0.45,0.4,0.2,0.4,0.33,0.34,0.33,39965381,Q6
0.1,0.45,0.45,0.34,0.33,0.33,0.3,0.3,0.4,10488033,Q6
0,0.9,0.1,0.1,0.45,0.45,0.1,0.45,0.45,41630957,Q6
0,0.5,0.5,0.33,0.33,0.34,0.33,0.33,0.34,34931343,Q6
0.5,0.8,0.6,0.8,0.2,0.5,0.4,0.4,0.4,87797788,Q6
0.55,0.85,0.75,0.75,0.6,0.67,0.53,0.6,0.67,59348757,Q6
0.07,0.46,0.48,0.25,0.8,0.95,0.27,0.15,0.46,39500077,Q6
0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.5,76868102,Q6
0.23,0.67,0.55,0.34,0.13,0.63,0.23,0.55,0.44,69805627,Q6
0.15,0.3,0.55,0.55,0.15,0.3,0.25,0.3,0.45,68405680,Q6
0.25,0.75,1,0.5,0.4,0.8,0.4,0.25,0.5,22341214,Q6
0.2,0.4,0.5,0.3,0.15,0.2,0.1,0.2,0.15,79348669,Q6
0.2,0.9,0.25,0.5,0.8,0.75,0.9,0.5,0.5,74595516,Q6
1,1,1,1,0.6,0.8,0.5,0.8,0.65,88196231,Q6
0.35,0.65,0.8,0.65,0.32,0.25,0.5,0.65,0.31,27651695,Q6
0.5,0.9,1,0.9,0.1,1,0.1,1,0.9,94705439,Q6
0.4,0.9,0.75,0.69,0.55,0.6,0.8,0.07,0.05,34289253,Q6
0.4,0.9,0.55,1,0.8,0.8,0.8,0.8,0.8,94411055,Q6
0.4,0.9,0.7,0.65,0.3,0.75,0.7,0.65,0.8,80974433,Q6
0.75,1,0.55,0.15,0.75,0.85,0.65,0.25,0.75,52210245,Q6
0,0.85,0.3,0.6,0.6,0.6,0.5,0.5,0.5,58250806,Q6
0.85,0.9,1,0.9,0.9,0.95,0.9,0.9,0.95,60335292,Q6
0.1,0.6,0.3,0.1,0.3,0.6,0.1,0.3,0.6,71973321,Q6
0.7,0.35,0.6,0.45,0.55,0.65,0.75,0.9,0.85,33519068,Q6
0.5,0.8,0.9,0.6,0.75,0.8,0.7,0.6,0.8,65786869,Q6
0.25,0.5,0.25,0.2,0.25,0.95,0.65,0.55,0.65,30927288,Q6
0.1,0.9,0.9,0.5,0.75,0.75,0.35,0.7,0.35,87113118,Q6
0.75,0.5,0.79,0.42,0.75,0.86,0.89,0.45,0.47,85167482,Q6
0.5,0.8,0.8,0.5,0.2,0.2,0.2,0.5,0.2,32652968,Q6
0.5,0.9,0.8,0.9,0.4,0.8,0.5,0.7,0.8,64014795,Q6
